path,bce,dice,total
../data/train/2822864707578145429,0.0001,0.0993,0.0994
../data/train/4323574042356976668,0.0009,0.0993,0.1003
../data/train/2912717244551386087,0.0012,0.0993,0.1005
../data/train/4454561667493796097,0.0003,0.0993,0.0996
../data/train/8054216125307509698,0.0001,0.0994,0.0995
../data/validation/6617654906375224318,0.0002,0.0994,0.0996
../data/train/1906983077021458652,0.0002,0.0994,0.0996
../data/train/9177310506968433691,0.0005,0.0994,0.0999
../data/train/8711531920973828380,0.0001,0.0994,0.0995
../data/train/3837936494675410022,0.0001,0.0994,0.0994
../data/train/6316870655646873345,0.0005,0.0994,0.0999
../data/train/7577880558497220184,0.0002,0.0994,0.0997
../data/train/5334953583275642970,0.0001,0.0994,0.0995
../data/train/4761286974028164861,0.0002,0.0994,0.0996
../data/train/8425904807289360789,0.0003,0.0994,0.0997
../data/validation/6674027164419475515,0.0,0.0994,0.0995
../data/train/9194855700029871880,0.0002,0.0994,0.0996
../data/train/252926520745773484,0.0,0.0994,0.0995
../data/train/7789644974416556487,0.0004,0.0994,0.0998
../data/train/3504177675258501995,0.0,0.0994,0.0995
../data/train/5993501497040015974,0.0002,0.0994,0.0996
../data/train/929305863047890255,0.0004,0.0994,0.0997
../data/train/1088112412332785289,0.0002,0.0994,0.0996
../data/validation/7227250758851503613,0.0002,0.0994,0.0996
../data/train/6610427649050826944,0.0002,0.0994,0.0995
../data/train/8584292250729459693,0.0003,0.0994,0.0998
../data/train/6999661352279195952,0.0001,0.0994,0.0996
../data/train/198070550648691779,0.0009,0.0994,0.1004
../data/train/5797972790265002129,0.0002,0.0994,0.0996
../data/train/5760561364333425325,0.0006,0.0994,0.1
../data/train/3794639443533893650,0.0001,0.0994,0.0995
../data/train/1752747056812953150,0.0003,0.0994,0.0996
../data/train/8520859669845955362,0.0001,0.0994,0.0995
../data/train/44443009157595037,0.0001,0.0994,0.0996
../data/train/4181815477798783385,0.0001,0.0994,0.0994
../data/validation/7690634240391570518,0.0001,0.0994,0.0996
../data/train/3928508520621578074,0.0001,0.0994,0.0994
../data/train/4036758090644416388,0.0001,0.0994,0.0994
../data/train/4037060765729202781,0.0001,0.0994,0.0995
../data/train/7858044946613237082,0.0003,0.0994,0.0997
../data/train/3600124758479244794,0.0001,0.0994,0.0995
../data/train/8418158111341606926,0.0001,0.0994,0.0995
../data/train/866877880706648797,0.0003,0.0994,0.0996
../data/train/3599404674882322144,0.0001,0.0994,0.0995
../data/train/6299411464966565735,0.0001,0.0994,0.0994
../data/train/4326026504120198970,0.0014,0.0994,0.1008
../data/train/5910823622448872878,0.0001,0.0994,0.0995
../data/validation/6125229615569968211,0.0001,0.0994,0.0995
../data/train/1414796037963784670,0.0001,0.0994,0.0996
../data/train/590432842579265881,0.0001,0.0994,0.0996
../data/train/3593703694337714590,0.0015,0.0994,0.1009
../data/train/6442334204140793573,0.0001,0.0994,0.0996
../data/train/5803764093610420528,0.0002,0.0995,0.0996
../data/train/525223895168942532,0.0001,0.0995,0.0996
../data/train/6184373527287516629,0.0003,0.0995,0.0998
../data/train/4231433639470108283,0.0003,0.0995,0.0998
../data/train/6713646023034833641,0.0004,0.0995,0.0998
../data/train/5565027241412260631,0.0002,0.0995,0.0997
../data/train/4139509016758863570,0.0004,0.0995,0.0998
../data/train/6884227403220593730,0.0001,0.0995,0.0996
../data/train/6451237444758388152,0.0001,0.0995,0.0995
../data/train/3962933330275400176,0.0005,0.0995,0.1
../data/train/4182353395607150527,0.0001,0.0995,0.0995
../data/train/6879239987807554047,0.0001,0.0995,0.0996
../data/train/7360429391214651145,0.0001,0.0995,0.0996
../data/train/1073684479602896937,0.0004,0.0995,0.0999
../data/train/6878436631706449746,0.0002,0.0995,0.0997
../data/train/3362757547517995768,0.0004,0.0995,0.0999
../data/train/8042043635806316169,0.0009,0.0995,0.1004
../data/train/7778562330992614831,0.0002,0.0995,0.0997
../data/validation/4385478574350035519,0.0003,0.0995,0.0998
../data/train/634571696407055121,0.0015,0.0995,0.1011
../data/train/2837719774836622149,0.0002,0.0995,0.0997
../data/train/9044773088820381088,0.0002,0.0995,0.0997
../data/validation/4161480515945245719,0.001,0.0995,0.1005
../data/train/432548070956515051,0.0001,0.0995,0.0996
../data/train/8000495122758239334,0.0001,0.0995,0.0997
../data/train/226850310204784884,0.0003,0.0995,0.0998
../data/train/447328633590692520,0.0001,0.0995,0.0996
../data/train/4266860546844230842,0.0001,0.0995,0.0996
../data/validation/4022350706499333616,0.0001,0.0995,0.0996
../data/train/4028122642072153941,0.001,0.0995,0.1005
../data/train/4931364177068312131,0.0005,0.0995,0.1
../data/train/7623390979066947572,0.0006,0.0995,0.1001
../data/train/7773250718413322239,0.0002,0.0995,0.0996
../data/train/8521739093252363127,0.0003,0.0995,0.0998
../data/train/5361869751902933970,0.0006,0.0995,0.1001
../data/validation/7491104366481536619,0.0001,0.0995,0.0996
../data/validation/1002777035567823518,0.0001,0.0995,0.0995
../data/train/797033011727695668,0.0006,0.0995,0.1001
../data/train/4006190722465728753,0.0003,0.0995,0.0998
../data/train/2283836158778922877,0.0004,0.0995,0.0998
../data/validation/7362769310584622717,0.0004,0.0995,0.0999
../data/train/1006714073984511039,0.0001,0.0995,0.0996
../data/train/5412584035888332659,0.0001,0.0995,0.0996
../data/validation/812710012232610717,0.0002,0.0995,0.0997
../data/train/8635391806057413980,0.0001,0.0995,0.0996
../data/train/2744790625749264587,0.0002,0.0995,0.0996
../data/train/6071074143759200782,0.0001,0.0995,0.0996
../data/train/3827463672241738547,0.001,0.0995,0.1005
../data/train/4587846948608089057,0.0001,0.0995,0.0996
../data/train/8841235278082288259,0.0001,0.0995,0.0996
../data/train/2501382205273533599,0.0039,0.0995,0.1034
../data/train/6574311355878368361,0.0001,0.0995,0.0996
../data/train/7700407424461592496,0.0002,0.0995,0.0997
../data/train/2222075731566672479,0.0001,0.0995,0.0996
../data/validation/8412494059245623016,0.0002,0.0995,0.0998
../data/train/1666033738642107541,0.0005,0.0995,0.1
../data/validation/5311920636706800011,0.0002,0.0995,0.0997
../data/validation/6257524824808813616,0.0002,0.0995,0.0997
../data/train/8824467308801171595,0.0001,0.0995,0.0996
../data/train/8360645157008826088,0.0002,0.0995,0.0997
../data/train/8816579587999349198,0.0007,0.0995,0.1001
../data/train/1419129297351010257,0.0001,0.0995,0.0995
../data/train/1985177532562484745,0.0002,0.0995,0.0997
